label	topic_id	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9	annotator10
cloud computing	0.0	3	2	2.0	3.0	2.0	2.0				
hypervisor	0.0	2	1	2.0	0.0	1.0					
microsoft exchange server	0.0	2	3	2.0							
vmware	0.0	1	3	2.0	3.0	2.0	1.0				
windows 2000	0.0	2	2	2.0	1.0	1.0	1.0	1.0	2.0	3.0	
postgresql	0.0	1	1	1.0	1.0	1.0	0.0	1.0	1.0		
application server	0.0	2	0	2.0	1.0	2.0					
sharepoint	0.0	2	1	2.0	3.0	2.0	1.0	1.0	1.0	1.0	
web application	0.0	2	1	3.0	2.0	3.0	2.0	1.0	3.0		
netware	0.0	1	2	1.0	2.0	3.0	1.0	1.0	3.0	1.0	2.0
sun microsystems	0.0	0	2	2.0	3.0	1.0	2.0	2.0	1.0		
oracle database	0.0	2	2	1.0	1.0	0.0	1.0				
virtualization	0.0	2	2	2.0	2.0	3.0	3.0	3.0			
windows server 2008	0.0	0	2	1.0	0.0	3.0					
windows server 2003	0.0	1	1	2.0	1.0	2.0	1.0				
hyper-v	0.0	1	1	3.0	1.0						
microsoft sql server	0.0	1	0	1.0	2.0	2.0	1.0	1.0			
desktop virtualization	0.0	1	3	2.0	1.0	1.0	1.0	1.0			
operating system	0.0	2	3	3.0	3.0	1.0	3.0	1.0	1.0	2.0	
hillary clinton	1.0	2	0	0.0	3.0	3.0					
mitt romney	1.0	0	0	0.0	1.0						
john kerry	1.0	1	1	1.0	0.0	2.0	0.0				
walter mondale	1.0	1	1	2.0	2.0	0.0	1.0				
conservative democrat	1.0	3	2	1.0	3.0	1.0					
joe biden	1.0	2	2	1.0	1.0	2.0	0.0				
barack obama	1.0	1	1	1.0	2.0	2.0	2.0				
joe lieberman	1.0	0	2	0.0	1.0	1.0	1.0	1.0	1.0		
john mccain	1.0	2	3	2.0	0.0	2.0	1.0				
howard dean	1.0	1	1	2.0	0.0	0.0	1.0				
george w. bush	1.0	1	1	1.0	2.0	1.0	1.0	1.0	1.0		
ted cruz	1.0	2	3	1.0	0.0	0.0	0.0				
george h. w. bush	1.0	1	3	0.0	1.0	0.0	0.0				
democratic party (united states)	1.0	3	3	3.0	2.0	3.0	3.0	2.0	3.0		
presidential nominee	1.0	3	3	3.0	2.0	3.0	3.0				
republican party (united states)	1.0	3	2	0.0	1.0	1.0					
al gore	1.0	0	0	1.0	0.0	2.0	0.0				
bob dole	1.0	1	1	1.0	1.0	1.0	0.0	1.0			
bill clinton	1.0	2	2	2.0	3.0	2.0	3.0	1.0	2.0	3.0	
windows 10	2.0	2	1	1.0	3.0	3.0	3.0				
windows mobile	2.0	1	2	1.0	1.0						
windows 8.1	2.0	3	3	3.0	0.0	3.0	2.0	1.0			
application programming interface	2.0	1	1	1.0	2.0	2.0	1.0	1.0			
windows xp	2.0	1	2	1.0	3.0	3.0	2.0	1.0	2.0		
windows server 2008	2.0	2	2	1.0	2.0	0.0	0.0				
operating system	2.0	3	2	1.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0
windows 8	2.0	2	3	2.0	3.0	3.0					
internet explorer	2.0	3	2	2.0	1.0	2.0					
windows server 2003	2.0	2	3	1.0	2.0	2.0	3.0				
windows 2000	2.0	2	2	2.0	2.0						
linux	2.0	1	2	2.0	3.0	1.0	1.0	1.0			
microsoft windows	2.0	1	3	2.0	2.0	1.0					
