topic_id,domain,term0,term1,term2,term3,term4,        term5,term6,term7,term8,term9
0,blogs,vmware,server,virtual,oracle,update,virtualization,application,infrastructure,management,microsoft
1,blogs,obama,mccain,campaign,john,barack,president,senator,candidate,convention,clinton
2,blogs,file,windows,software,server,version,install,user,microsoft,application,support
3,blogs,drive,computer,card,laptop,memory,battery,usb,intel,processor,hard
4,blogs,game,play,video,xbox,360,wii,gaming,player,release,nintendo
5,blogs,vote,house,election,poll,bill,republican,party,voter,candidate,senate
6,blogs,health,patient,medical,doctor,hospital,disease,cancer,care,drug,study
7,blogs,food,eat,cook,chicken,recipe,cup,cheese,add,taste,tomato
8,blogs,god,church,jesus,christian,faith,lord,christ,catholic,give,prayer
9,blogs,china,chinese,olympics,gold,olympic,team,win,beijing,medal,sport
10,blogs,palin,sarah,mccain,alaska,governor,president,republican,woman,john,vice
11,blogs,look,white,color,black,red,hair,blue,light,green,eye
12,blogs,financial,bank,market,government,mortgage,bailout,billion,street,wall,crisis
13,blogs,weight,body,fat,diet,food,health,eat,exercise,loss,healthy
14,blogs,car,power,vehicle,seat,rear,wheel,engine,drive,air,front
15,blogs,site,web,google,search,website,online,internet,social,content,user
16,blogs,oil,energy,gas,water,power,fuel,global,price,plant,natural
17,blogs,cell,gene,protein,function,study,elegan,expression,mutant,suggest,brain
18,blogs,phone,mobile,iphone,device,internet,service,google,app,read,source
19,blogs,music,song,band,album,play,sound,rock,track,guitar,listen
20,blogs,game,team,run,hit,season,win,baseball,sox,pitch,start
21,blogs,family,brother,die,sister,father,mother,dad,tell,son,wife
22,blogs,court,law,case,police,charge,legal,judge,crime,report,federal
23,blogs,size,shoe,bag,wear,pair,fit,foot,pocket,leather,weight
24,blogs,school,student,university,college,teacher,class,education,learn,high,program
25,blogs,game,team,season,play,football,player,win,week,fan,coach
26,blogs,san,francisco,diego,los,california,angeles,2006,2005,conference,october
27,blogs,store,sell,sale,item,buy,coffee,shop,price,box,gift
28,blogs,business,company,technology,product,customer,service,provide,management,development,system
29,blogs,military,force,war,army,soldier,gun,fire,air,guard,u.s.
